text,label
Congratulations Sam! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://brightpay-secure-login.top/verify,phishing
"Dear Liam, thank you for your recent purchase from BrightPay. Your order #41359 has shipped and should arrive by Monday.",safe
"Hey, are we still on for lunch on Friday? Let me know what time works for you.",safe
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://confirm-now.ga/login,phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://63.190.12.103/login/verify,phishing
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://northwindbank-secure-login.xyz/verify,phishing
Final notice: Your Northwind Bank subscription payment failed. Please update your card details immediately to avoid cancellation: http://harborinsurance-secure-login.info/verify,phishing
"Hey, are we still on for lunch on Wednesday? Let me know what time works for you.",safe
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://harborinsurance-secure-login.ml/verify,phishing
"Hey, are we still on for lunch on Friday? Let me know what time works for you.",safe
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://secure-update.top/login,phishing
"Dear valued customer, our records show your BrightPay password will expire today. Click below to reset it now and keep your account active: http://summitretail-secure-login.ga/verify",phishing
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://oc50h2cwtg1m8x.info/index.php?verify=1,phishing
"Hi Taylor, the quarterly report from Vertex Software is ready for review. You can access it here: https://www.summitretail.com/billing",safe
"Hi Liam, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://s0kb68rervt997.info/index.php?verify=1,phishing
"Dear valued customer, our records show your Vertex Software password will expire today. Click below to reset it now and keep your account active: http://29.20.242.227/login/verify",phishing
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://yourcompany-secure-login.ml/verify,phishing
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://account-verify.info/login,phishing
Final notice: Your Meridian Health subscription payment failed. Please update your card details immediately to avoid cancellation: http://kza3oa52960361.info/index.php?verify=1,phishing
